x,y
0.0,+.100000000000E+0001
10,+.154347130187E+0000
20,+.110439739956E+0000
30,+.905387877784E-0001
40,+.785689170961E-0001
50,+.703606166774E-0001
60,+.642829834918E-0001
70,+.595495078356E-0001
80,+.557280900008E-0001
90,+.525590336643E-0001
100,+.498756211209E-0001
110,+.475652711512E-0001
120,+.455488498967E-0001
130,+.437688912682E-0001
140,+.421825208387E-0001
150,+.407570135286E-0001
160,+.394668997760E-0001
170,+.382920202167E-0001
180,+.372161820750E-0001
190,+.362262089950E-0001
200,+.353112550269E-0001
210,+.344623001445E-0001
220,+.336717731272E-0001
230,+.329332654676E-0001
240,+.322413114304E-0001
250,+.315912169130E-0001
260,+.309789248064E-0001
270,+.304009079993E-0001
280,+.298540835587E-0001
290,+.293357433056E-0001
300,+.288434972087E-0001
310,+.283752268894E-0001
320,+.279290471706E-0001
330,+.275032740753E-0001
340,+.270963980336E-0001
350,+.267070613255E-0001
360,+.263340389897E-0001
370,+.259762225869E-0001
380,+.256326063252E-0001
390,+.253022751537E-0001
400,+.249843945008E-0001
410,+.246782013967E-0001
420,+.243829967640E-0001
430,+.240981386990E-0001
440,+.238230365970E-0001
450,+.235571459989E-0001
460,+.232999640567E-0001
470,+.230510255319E-0001
480,+.228098992547E-0001
490,+.225761849817E-0001
500,+.223495106015E-0001
510,+.221295296422E-0001
520,+.219159190439E-0001
530,+.217083771631E-0001
540,+.215066219815E-0001
550,+.213103894939E-0001
560,+.211194322556E-0001
570,+.209335180704E-0001
580,+.207524288033E-0001
590,+.205759593042E-0001
600,+.204039164307E-0001
610,+.202361181596E-0001
620,+.200723927768E-0001
630,+.199125781387E-0001
640,+.197565209973E-0001
650,+.196040763822E-0001
660,+.194551070346E-0001
670,+.193094828877E-0001
680,+.191670805892E-0001
690,+.190277830624E-0001
700,+.188914791015E-0001
710,+.187580629983E-0001
720,+.186274341976E-0001
730,+.184994969790E-0001
740,+.183741601615E-0001
750,+.182513368311E-0001
760,+.181309440870E-0001
770,+.180129028064E-0001
780,+.178971374264E-0001
790,+.177835757401E-0001
800,+.176721487079E-0001
810,+.175627902809E-0001
820,+.174554372361E-0001
830,+.173500290233E-0001
840,+.172465076211E-0001
850,+.171448174031E-0001
860,+.170449050121E-0001
870,+.169467192422E-0001
880,+.168502109290E-0001
890,+.167553328460E-0001
900,+.166620396073E-0001
910,+.165702875764E-0001
920,+.164800347808E-0001
930,+.163912408309E-0001
940,+.163038668442E-0001
950,+.162178753737E-0001
960,+.161332303407E-0001
970,+.160498969709E-0001
980,+.159678417346E-0001
990,+.158870322898E-0001
1000,+.158074374290E-0001
1010,+.157290270279E-0001
1020,+.156517719983E-0001
1030,+.155756442422E-0001
1040,+.155006166092E-0001
1050,+.154266628554E-0001
1060,+.153537576052E-0001
1070,+.152818763149E-0001
1080,+.152109952372E-0001
1090,+.151410913891E-0001
1100,+.150721425201E-0001
1110,+.150041270826E-0001
1120,+.149370242034E-0001
1130,+.148708136573E-0001
1140,+.148054758408E-0001
1150,+.147409917484E-0001
1160,+.146773429488E-0001
1170,+.146145115632E-0001
1180,+.145524802438E-0001
1190,+.144912321541E-0001
1200,+.144307509494E-0001
1210,+.143710207585E-0001
1220,+.143120261663E-0001
1230,+.142537521973E-0001
1240,+.141961842991E-0001
1250,+.141393083274E-0001
1260,+.140831105317E-0001
1270,+.140275775409E-0001
1280,+.139726963499E-0001
1290,+.139184543074E-0001
1300,+.138648391030E-0001
1310,+.138118387556E-0001
1320,+.137594416026E-0001
1330,+.137076362885E-0001
1340,+.136564117549E-0001
1350,+.136057572305E-0001
1360,+.135556622219E-0001
1370,+.135061165037E-0001
1380,+.134571101107E-0001
1390,+.134086333285E-0001
1400,+.133606766864E-0001
1410,+.133132309487E-0001
1420,+.132662871080E-0001
1430,+.132198363774E-0001
1440,+.131738701841E-0001
1450,+.131283801623E-0001
1460,+.130833581472E-0001
1470,+.130387961686E-0001
1480,+.129946864450E-0001
1490,+.129510213781E-0001
1500,+.129077935469E-0001
1510,+.128649957027E-0001
1520,+.128226207641E-0001
1530,+.127806618118E-0001
1540,+.127391120839E-0001
1550,+.126979649714E-0001
1560,+.126572140138E-0001
1570,+.126168528949E-0001
1580,+.125768754385E-0001
1590,+.125372756045E-0001
1600,+.124980474851E-0001
1610,+.124591853012E-0001
1620,+.124206833986E-0001
1630,+.123825362446E-0001
1640,+.123447384250E-0001
1650,+.123072846403E-0001
1660,+.122701697029E-0001
1670,+.122333885343E-0001
1680,+.121969361616E-0001
1690,+.121608077152E-0001
1700,+.121249984260E-0001
1710,+.120895036222E-0001
1720,+.120543187276E-0001
1730,+.120194392586E-0001
1740,+.119848608217E-0001
1750,+.119505791116E-0001
1760,+.119165899085E-0001
1770,+.118828890764E-0001
1780,+.118494725604E-0001
1790,+.118163363853E-0001
1800,+.117834766530E-0001
1810,+.117508895411E-0001
1820,+.117185713007E-0001
1830,+.116865182545E-0001
1840,+.116547267954E-0001
1850,+.116231933848E-0001
1860,+.115919145503E-0001
1870,+.115608868850E-0001
1880,+.115301070453E-0001
1890,+.114995717495E-0001
1900,+.114692777765E-0001
1910,+.114392219645E-0001
1920,+.114094012090E-0001
